INPUT:dialog	GOLDEN:intent	HINT:text
открой яндекс электрички	to_relabel	Запрос на открытие приложения/сайта, в рамках текущей разметки его следует отнести в Другое - Другое
погода на сегодня два часа дня	search.news_and_weather.weather	Другое - Новости и Погода - Погода
отключи звук	settings.sound.mute	Просьба выключить звук на устройстве (Настройки звука - Выключить)
построй маршрут до московской 143	to_relabel	Это картографический запрос, в рамках текщей разметки его следует отнести в Другое - Другое
просмотр передач канал тв три онлайн	search.content.live.tv_stream	Поиск просмотра прямого эфира указанного телеканала. Поиск контента - Прямой эфир - Прямой эфир ТВ
когда будет дождь	search.news_and_weather.get_weather_nowcast	Очевидно, запрос касается конкретного вида осадков. Тема: Другое -  Новости и Погода - Запросы про осадки
добрый день,Здравствуйте.,алиса ты скучала
включи телевизор онлайн	search.content.live.tv_stream	Поиск онлайн просмотра телевизионного эфира. Поиск контента - Прямой эфир - Прямой эфир ТВ
включи ка колонку на максимум	settings.sound.volume_level	Запрос на установку максимального уровня громкости, аналогично громкости 10 из 10 (Настройки звука - Указание уровня громкости)
во сколько завтра снегопад начнется витебске	search.news_and_weather.get_weather_nowcast	Пользователя интересует не общий прогноз, а время выпадения конкретного вида осадков. Тема: Другое -  Новости и Погода - Запросы про осадки
алиса включи мне онлайн стрим кс го	search.content.video.not_porno	Поиск прямого эфира, напрямую не связанный с телеканалами. Поиск контента - Прямой эфир - Прочее
поставь будильник на семь утра	action.time.alarm.setup	Работа с будильниками - Поставь будильник
алиса новости на сегодня	search.news_and_weather.news	Другое - Новости и Погода - Новости
меньше низких частот	settings.sound.equalizer	Настройки звука - Эквалайзер
сколько лет длилась столетняя война	search.fact	Другое - Факты
сколько времени сейчас в нью дели	action.time.what_time	Работа со временем - Время
запусти секундомер	action.time.stopwatch	Работа со временем - Секундомер
какая погода в астрахани завтра	search.news_and_weather.weather	Общий запрос прогноза погоды. Тема: Другое -  Новости и Погода - Погода
точное время,13:43\, понедельник\, 29 октября.,стоп	other.stop	Другое - Просьба замолчать. Пользователь не хочет дослушивать длинную речь Алисы на простой вопрос "сколько времени"
familiar,Включаю: Liam Payne\, J. Balvin\, Mike Sabath\, альбом \"Familiar\"\, песня \"Familiar\".,хватит	action.app.player.play_pause.pause	Остановка воспроизведения. При такой команде и Алиса замолчит, и воспроизведение встанет на паузу (в Определении тематики фразы это было бы "Управление воспроизведением")
что ты умеешь,Вы можете перейти к следующей композиции\, сказав \"следующий трек\" или остановить воспроизведение\, сказав \"пауза\". Продолжим?,хватит	other.stop	Другое - Просьба замолчать. Алиса говорит слишком долго, и пользователь просит её замолчать
какая сейчас погода,В настоящее время в Санкт-Петербурге -2\, ясно.,хватит	other.stop	Другое - Просьба замолчать. Скорее всего, пользователь уже увидел на экране информацию и не хочет тратить время на прослушивание
торговый центр,По адресу Домодедово\, Донбасская улица 52А есть \"ТК Поляна\". Работает с 9 утра до 8 вечера. Сейчас закрыто.,алиса стоп	other.stop	Другое - Просьба замолчать. Алиса слишком долго говорит
поставь любэ выйду в поле с конем,Включаю: Любэ\, альбом \"Лучшие песни. Часть 1\"\, песня \"Конь\".,хватит	action.app.player.play_pause.pause	Остановка воспроизведения. Судя по всему, пользователь больше не хочет слушать эту песню
сделай потише на пару пунктов	settings.sound.volume_down	Запрос на уменьшение громкости звука относительно текущего уровня (Настройки звука - Потише)
