INPUT:dialog	GOLDEN:intent	HINT:text
Привет,добрый вечер,шрот шрота	other.nonsense	Другое - Прочее
привет как дела?,Est-ce que c'est aussi bon que toi?	other.unrecognized_language	Другое - Неизвестные слова/языки
😂😂😂	other.nonsense	Другое - прочее
запусти секундомер
где я?	simple.where	Простые просьбы - Где я
точное время,13:43\, понедельник\, 29 октября.,стоп	other.stop	Другое - Просьба замолчать. Пользователь не хочет дослушивать длинную речь Алисы на простой вопрос "сколько времени"
familiar,Включаю: Liam Payne\, J. Balvin\, Mike Sabath\, альбом \"Familiar\"\, песня \"Familiar\".,хватит	action.app.music.play_pause	Информация из интернета - Музыка - Управление воспроизведением. При такой команде и Алиса замолчит, и воспроизведение встанет на паузу (в разметке станции это было бы "Остановка воспроизведения")
что ты умеешь,Вы можете перейти к следующей композиции\, сказав \"следующий трек\" или остановить воспроизведение\, сказав \"пауза\". Продолжим?,хватит	other.stop	Другое - Просьба замолчать. Алиса говорит слишком долго, и пользователь просит её замолчать
алиса можешь поменять голоc	general_conversation.settings	Диалог - Настройки
я стула,к сожалению я не поняла,стула	other.nonsense	Другое - прочее
\,	other.empty	Другое - Последняя фраза пустая
привет алиса,и тебе привет,.	other.empty	Другое - Последняя фраза пустая
null	other.empty	null нужно относить в категорию Другое - Последняя фраза пустая
алиса придумай случайное число от 1 до 100	simple.random_num	Простые просьбы - Случайное число
запомни\, я здесь живу	simple.remember_address	Простые просьбы - Запомнить адрес
какая сейчас погода,В настоящее время в Санкт-Петербурге -2\, ясно.,хватит	other.stop	Другое - Просьба замолчать. Скорее всего, пользователь уже увидел на экране информацию и не хочет тратить время на прослушивание
торговый центр,По адресу Домодедово\, Донбасская улица 52А есть \"ТК Поляна\". Работает с 9 утра до 8 вечера. Сейчас закрыто.,алиса стоп	other.stop	Другое - Просьба замолчать. Алиса слишком долго говорит
поставь любэ выйду в поле с конем,Включаю: Любэ\, альбом \"Лучшие песни. Часть 1\"\, песня \"Конь\".,хватит	action.app.music.play_pause	Информация из интернета - Музыка - Управление воспроизведением. Судя по всему, пользователь больше не хочет слушать эту песню Любэ, по крайней мере пока (в разметке станции это было бы "Остановка воспроизведения")
