INPUT:dialog	GOLDEN:intent	HINT:text
алиса,Что?,перезагрузи систему	action.pc.stop.restart_pc	Выполнить действие - Управление устройством - Сон/Перезагрузка/Выключение
два плюс два равно	action.calc	Выполнить действие - Калькулятор/перевод величин
привет алиса,Привет,можешь маме набрать	action.phone.call	Выполнить действие - Сообщения и звонки - Звонок
меньше низких частот	settings.sound.equalizer	Настройки звука - Эквалайзер
отправь сообщение буду поздно маме	action.phone.message	Выполнить действие - Сообщения и звонки - Сообщения смс/ммс
отключи звук	settings.sound.mute	Просьба выключить звук на устройстве (Настройки звука - Выключить)
песня yesterday
прочитай вслух последние сообщения из телеграма	action.app.messenger	Выполнить действие - Запуск приложений/сайтов - Мессенджеры
яндекс музыку запусти что ли	action.app.music.yandex	Выполнить действие - Запуск приложений/сайтов - Музыкальные приложения/сайты - Слушать в приложении Яндекса
открой appstore приложение	action.app.other_app	Выполнить действие - Запуск приложений/сайтов - Другие приложения
переведи кошка на английский, cat, а на итальянский	action.translate	Запрос на повторный перевод слова. Выполнить действие - Перевод
сколько времени сейчас в нью дели	action.time.what_time	Выполнить действие - Работа со временем - Дата и время сегодня/через N дней - Время
youtube клип despacito включи пожалуйста	action.app.video	Информация из интернета - Видео или клипы - Открыть в приложении/сайте

приложение яндекс маркет	action.app.other_app	Выполнить действие - Запуск приложений/сайтов - Другие приложения
запусти секундомер	action.time.stopwatch	Выполнить действие - Работа со временем - Секундомер
включи ка колонку на максимум	settings.sound.volume_level	Запрос на установку максимального уровня громкости, аналогично громкости 10 из 10 (Настройки звука - Указание уровня громкости)
какое число было вчера
перевести no money no honey	action.translate	Запрос на перевод фразы.	Выполнить действие - Перевод
сделай потише на пару пунктов	settings.sound.volume_down	Запрос на уменьшение громкости звука относительно текущего уровня (Настройки звука - Потише)
алиса открой мне диск цэ	action.pc.open.open_disk	Выполнить действие - Запуск приложений/сайтов - Файлы и папки - Открыть диск
выключи компьютер	action.pc.stop.power_off	Выполнить действие - Управление устройством - Сон/Перезагрузка/Выключение
открой клип ленинграда на ютуб	action.app.video	Информация из интернета - Поиск контента - Видео или клипы - Открыть в приложении/сайте
алис открой папку мои документы на компьютере	action.pc.open.open_folder	Выполнить действие - Запуск приложений/сайтов - Файлы и папки
привет яндекс предыдущая песня	action.app.music.play_pause	Выполнить действие - Запуск приложений/сайтов - Музыкальные приложения/сайты - Управление вопроизведением. Так же можно отметить это действия идя через запуск приложений/сайтов
поставь будильник на семь утра	action.time.alarm.setup	Выполнить действие - Работа со временем - Просьба поставить будильник
переведи слово огонь, на какой язык?, японский	action.translate	Запрос на перевод слова. Выполнить действие - Перевод
