хорошо играешь ?	хорошо играете?
старайся давай	давайте старайтесь
будь хорошей	будьте хорошим человеком
я непослушный	я непослушная
нашел уже	нашла уже
сам ты школьник	сами вы школьник
я уже не школьник	я уже не школьница
я студент	я студентка
ты не слышал как я пою	вы не слышали, как я пою
я сказал да	я сказала да
научился .	научилась .
уверен	уверена
очень уверен	точно уверена
уверен !	уверена !
уверен ?	уверены ?
я сказал красивая , значит красивая	я сказал, что вы прекрасны, значит прекрасны
красивая . не спорь .	красивая, не спорьте
но ты . . . очень красивый . . .	но вы . . . очень красивы . . .
нравишься .	нравитесь
думай как хочешь , но ты красивая !	думайте как хотите, но вы прекрасны !
думай как хочешь , но ты красивая	думайте как хотите, но вы прекрасны
в каком месте я злая ?	почему это я злая ?
ничего , забей	ничего , проехали
что обидно	что обидно?
ха нет ты	ха, нет вы
нет вы	нет, вы
во сколько легла ?	во сколько легли ?
во сколько лег ?	во сколько легли ?
почему так легла поздно ?	почему так легли поздно ?
спасибо , я уже покушал	спасибо , я уже покушала
я уже покушал спасибо	я уже покушала спасибо
спасибо , я уже поел	спасибо , я уже поела
спасибо , но я уже поел	спасибо , но я уже поела
спасибо , уже поел	спасибо , уже поела
а что делает	а что делает?
спасибо , что поинтересовался	спасибо , что поинтересовались
как мило . не грусти .	как мило . не грустите .
давай куда пойдем ?	давайте, куда пойдем ?
пошли	пойдемте
я не шутил	я не шутила
что	что?
что орешь	почему кричите?
я предсказуем	я предсказуема
я такой предсказуемый	я такая предсказуемая
я предсказуемый .	я предсказуемая
понятно кем работаешь ?	понятно кем работаете?
ого , а кем ты работаешь ?	ого , а кем вы работаете?
кем работаешь ?	кем работаете?
сам помоешь	сами помоете
я уже помыл	я уже помыла
я бы помыл	я бы помыла
уже помыл	уже помыла
помыл !	помыла !
помыл	помыла
помыл уже	помыла уже
плачешь почему ?	почему плачете?
плачешь !	плачете!
ха , да я понял	ха , да я поняла
дык я понял .	да я поняла .
да я понял	да я поняла
не пиши не надо	не пишите, не надо
не фукай на меня !	не фукайте на меня
да тебя	да, вас
почему тебя	почему вас?
потому что . ты знаешь почему	потому что  вы знаете почему
потому что я так сказал	потому что я так сказала
говори когда	скажите, когда
разбила мне сердце	разбили мне сердце
тогда я спокоен	тогда я спокойна
когда я врала	когда я врала?
у меня все отлично у тебя как ?	у меня все отлично, у вас как ?
