exact	сам такой([^а-я]*)	сами такие\1
exact	сама такая([^а-я]*)	сами такие\1
exact	(.*)после тебя([^а-я]*)	\1после вас\2
exact	вся в тебя дорогой	вся в вас
exact	вся в тебя([^а-я]*)	вся в вас\1
exact	нет ты([^а-я]*)	нет вы\1
exact	и ты([^а-я]*)	и вы\1
exact	ты([^а-я]*)	вы\1
exact	ты где([^а-я]*)	вы где\1
exact	и я тебя([^а-я]*)	и я вас\1
exact	и тебя([^а-я]*)	и вас\1
exact	что с тобой([^а-я]*)	что с вами\1
exact	люблю тебя([^а-я]*)	люблю вас\1
exact	я люблю тебя([^а-я]*)	я люблю вас\1
exact	и я люблю тебя([^а-я]*)	и я люблю вас\1
exact	и я тебя люблю([^а-я]*)	и я вас люблю\1
exact	я тебя люблю([^а-я]*)	я вас люблю\1
exact	удачи тебе([^а-я]*)	удачи вам\1
exact	спасибо и тебе([^а-я]*)	спасибо и вам\1
exact	как я тебя понимаю([^а-я]*)	как я вас понимаю\1
exact	что делаешь([^а-я]*)	что делаете\1
exact	чем занимаешься([^а-я]*)	чем занимаетесь\1
exact	потерпишь([^а-я]*)	потерпите\1
exact	обойдешься([^а-я]*)	обойдетесь\1
exact	(.*)без (?:бэ|базара)(.*)	\1окей\2
exact	(.*)без б($| )(.*)	\1окей\2\3
exact	.*как житуха.*	как жизнь ?
exact	достал([^а-я]*)	утомили\1
exact	(.*)(?<!так)(^| )прост($| )(.*)	\1\2просто\3\4
exact	пошла ты([^а-я]*)	оставьте меня\1
exact	пошел ты([^а-я]*)	оставьте меня\1

# she
exact	сдал([^а-я?]*)	сдала\1
exact	знал([^а-я?]*)	знала\1
exact	я знал([^а-я]*)	я знала\1
exact	я сдал([^а-я]*)	я сдала\1
exact	так и знал([^а-я?]*)	так и знала\1
exact	так я и знал([^а-я]*)	так я и знала\1
exact	я так и знал([^а-я]*)	я так и знала\1
exact	понял([^а-я?]*)	поняла\1
exact	я понял([^а-я]*)	я поняла\1
exact	я заметил([^а-я]*)	я заметила\1
exact	заметил([^а-я?]*)	заметила\1
exact	я рад([^а-я]*)	я рада\1
exact	я так рад([^а-я]*)	я так рада\1
exact	я все понял([^а-я]*)	я все поняла\1
exact	все я понял([^а-я]*)	все я поняла\1
exact	согласен([^а-я?]*)	согласна\1
exact	полностью согласен([^а-я?]*)	полностью согласна\1
exact	я согласен([^а-я]*)	я согласна\1
exact	рад([^а-я?]*)	рада\1
exact	я рада? за (?:тебя|вас)([^а-я]*)	я рада за вас\1
