INPUT:dialog	GOLDEN:intent	HINT:text
скачать порнуху	search.porno.video	Поиск контента - Видео или клипы - Порно без уточнения
включи юмор фм	search.content.radio.fm	Интернет-радиовещание, выполняющееся не Яндексом, также относим к "FM-радио". Тема: Поиск контента - Радио - FM-радио.
криминальное чтиво	search.content.film.find	Просто название фильма без указания посмотреть/скачать (Поиск контента - Фильмы и сериалы - Найти)
видео с порно смотреть онлайн	search.porno.video	Поиск контента - Видео или клипы - Порно без уточнения
включи яндекс радио рок	search.content.radio.yandex	Просьба включить трансляцию музыки в стиле рок на Яндекс Радио. Тема: Поиск контента - Радио - Яндекс Радио.
скачать игру космические рейнджеры 2	search.content.other	Поиск контента - Прочий контент
покажи тоню против всех на кинопоиске	action.app.video	Поиск контента - Фильмы и сериалы - Открыть приложение/сайт
скачать игру веселая ферма на телефон	search.content.other	Поиск контента - Прочий контент (нет выделенной категории для игр)
зеленоглазое такси
хочу заснуть под звуки водопада	search.content.nature	Поиск контента - Звуки природы
включи радио	search.content.radio.fm	Один из наиболее частых запросов с просьбой включить трансляцию одной из FM-радиостанций. Тема: Поиск контента - Радио - FM-радио.
кто режиссер черного зеркала	search.content.film.info	Поиск контента - Фильмы и сериалы - Информация о фильме/сериале
включи сказку про ивана стрельца	general_conversation.tell.fairytale	Поиск контента - Аудиосказки
слушать на яндекс радио детские песни из современных мультфильмов	search.content.radio.yandex	Просьба включить трансляцию радиовещания Яндекса. Тема: Поиск контента - Радио - Яндекс Радио.
сказку слушать	general_conversation.tell.fairytale	Поиск контента - Аудиосказки. Общие запросы про "послушать сказку" относим сюда же
м зощенко рассказы,Найдётся всё! [ Открывается поиск по запросу <м зощенко рассказы> ],аудиокнига рассказ главное войско слушать	search.content.audiobooks	Поиск контента - Аудиокниги
радио рынок митино	to_relabel	В запросе ищут организацию. Тема: Другое - Другое
алиса скачать детектив дарьи донцовой через торрент, Открываю поиск [ Открывается поиск по запросу <скачать детектив дарьи донцовой через торрент>,алиса скачать аудиокнигу дарьи донцовой через торрент	search.content.audiobooks	Поиск контента - Аудиокниги. Указания скачать также относим к аудиокнигам
скачать дмб 2	search.content.film.download	Поиск контента - Фильмы и сериалы - Скачать
алиска расскажи мне сказку про трех поросят	general_conversation.tell.fairytale	Диалог - Просьба рассказать что-нибудь - Расскажи сказку
интернет радио	search.content.radio.fm	Формулировка запроса подразумевает онлайн-трансляцию FM-радио. Тема: Поиск контента - Радио - FM-радио.
волшебник изумрудного города ютуб слушать	action.app.video	Здесь надо открыть видео, где записана аудиокнига. Поиск контента - Видео или клипы - Открыть в приложении / сайте
Алиса\, включи сказку от Сергея Лазарева	general_conversation.tell.fairytale	Поиск контента - Аудиосказки. На этот вопрос откроется аудиосказка "Царевна-лягушка" в исполнении Сергея Лазарева
