автобус м10 москва маршрут	search.timetable.transport	Информация из интернета - Запросы про расписание - Транспорт
алис что идет в кино,Сейчас в прокате больше 30 фильмов хотите узнать обо всех?,нет лучше скажи что показывают в кинотеатре пионер	search.timetable.cinema	Информация из интернета - Запросы про расписание - Кино
когда будет дождь	search.news_and_weather.get_weather_nowcast	Очевидно, запрос касается конкретного вида осадков. Тема: Информация из интернета -  Новости и Погода - Запросы про осадки
как сделать суши	search.cook	Информация из интернета - Кулинарные запросы
сколько стоят акции сбербанка на бирже	search.currency	Информация из интернета - Курсы акций и валют
погода на сегодня два часа дня	search.news_and_weather.weather	Информация из интернета - Новости и Погода - Погода
какой элемент под номером 42 в таблице менделеева	search.fact	Информация из интернета - Факты
какой курс доллара	search.currency	Информация из интернета - Курсы акций и валют
алиса новости на сегодня	search.news_and_weather.news	Информация из интернета - Новости и Погода - Новости
сколько лет длилась столетняя война	search.fact	Информация из интернета - Факты
что произошло в мире
нобелевская премия	search.other	Информация из интернета - Прочие запросы. Это недостаточно специфичный запрос для попадания в категорию факты
театр на малой бронной афиша	search.timetable.events	Информация из интернета - Запросы про расписание - Театры, выставки и представления
во сколько завтра снегопад начнется витебске	search.news_and_weather.get_weather_nowcast	Пользователя интересует не общий прогноз, а время выпадения конкретного вида осадков. Тема: Информация из интернета -  Новости и Погода - Запросы про осадки
какая погода в астрахани завтра	search.news_and_weather.weather	Общий запрос прогноза погоды. Тема: Информация из интернета -  Новости и Погода - Погода
