INPUT:dialog	GOLDEN:intent	HINT:text
алиса ты умница	general_conversation.feedback.positive	Диалог - Похвала/критика/оскорбления - Похвала
курс доллара,56 рублей 42 копейки,ок	other.insignificant.ok	Другое - Неинформативный ответ - Ладно/понятно/ок
блядь алиса ты тупая сука	general_conversation.feedback.negative.insult_swearing	Диалог - Похвала/критика/оскорбления - Оскорбления с матом
алиса покажи погоду в городе московск,Вот прогноз погоды в городе Москва,алиса ты неправильно меня поняла	general_conversation.feedback.negative.criticism	Диалог - Похвала/критика/оскорбления - Критика без оскорбления
Что ты умеешь?	simple.what_you_can.general	Простые просьбы - Что ты умеешь? - Прочее
какие ты знаешь сказки
Когда начинаем?,Хоть завтра,Сегодня ты занята что ли?	general_conversation.dialog	Диалог - Болтовня / диалог
привет алиса ты умеешь играть в игры,я много чего могу,давай поиграем в города	general_conversation.game	Диалог - Игры с алисой
можешь мне скинуть денег,Домой приеду кину,это будет уже слишком поздно	general_conversation.dialog	Диалог - Болтовня / диалог
привет алиса давай поиграем в морской бой	general_conversation.game	Диалог - игры с Алисой
Можете поболтать ни о чем, просто скажите Алиса давай поболтаем,ясно	other.insignificant.ok	Другое - Неинформативный ответ - Ладно/понятно/ок
спой какую нибудь свою песню	general_conversation.tell.sing_song.own	Диалог - Просьба рассказать что-нибудь - Спой песню - Своего сочинения
алиса подскажи погоду,в москве солнечно +17,спасибо	other.insignificant.thanks	Другое - неинформативный ответ - Спасибо
алиса ты знаешь кто такой игорь акинфеев,Не могли бы вы повторить вопрос?,какая же ты тупая	general_conversation.feedback.negative.insult_general	Диалог - Похвала/критика/оскорбления - Оскорбления без мата
что ты знаешь про меня,Никогда не сомневайтесь\, что вы лучше всех. Вот что главное,что еще	general_conversation.dialog	Диалог - Болтовня / диалог
алиса развесели меня,могу рассказать анекдот,давай	general_conversation.tell.joke	Диалог - Просьба рассказать что-нибудь - Расскажи шутку/анекдот
привет алиса,и тебе привет,как у тебя дела	general_conversation.dialog	Диалог - Болтовня / диалог
алиса позвони маме,не могу найти контакт мама у вас в телефоне,ладно	other.insignificant.ok	Другое - неинформативный ответ - Ладно/понятно/ок
расскажи мне стих	general_conversation.tell.poem	Диалог - Просьба рассказать что-нибудь - Расскажи стих/поэму
привет алиса такси,не совсем вас понимаю,ты умеешь заказывать такси?	simple.what_you_can.taxi	Простые просьбы - Что ты умеешь?
